parent_ticker,parent_cik10,parent_name,incorp_country_iso3,incorp_state_or_region,legal_form,latest_20f_year,latest_20f_accession,sources_used,lineage
AACG,0001420529,ATA Creativity Global,,Cayman Islands,,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
AAM,0002012964,"AA Mission
Acquisition Corp.",,Cayman Islands,,,,USCC|DEI|CIK|submissions,"{""uscc_path"": ""data\\raw\\USCC\\20251008_chinese_companies_USA.csv"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv"", ""submissions_path"": ""data\\raw\\EDGAR\\AAM\\submissions.json""}"
AAPG,0002023311,ASCENTAGE PHARMA GROUP INTERNATIONAL,,Cayman Islands,,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ABLV,0001957489,Able View Global Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ACMR,0001680062,"ACM Research, Inc.",,CA,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\ACMR\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ADAG,0001818838,Adagene Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
AEHL,0001470683,Antelope Enterprise Holdings Limited,,British Virgin Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
AGMH,0001705402,AGM Group Holdings Inc.,,British Virgin Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
AHG,0001702318,Akso Health Group,,Cayman Islands,,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
AIFU,0001413855,AIFU Inc.,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
AIHS,0001711012,Senmiao Technology Ltd,,NV,,,,submissions|DEI|CIK,"{""submissions_path"": ""data\\raw\\EDGAR\\AIHS\\submissions.json"", ""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
AIXI,0001935172,XIAO-I CORPORATION,,Cayman Islands,Corporation,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
ANL,0001944552,Adlai Nortye Ltd.,,Cayman Islands,Limited,,,DEI|CIK,"{""dei_path"": ""data\\intermediate\\dei_facts_20251008.csv"", ""cik_path"": ""data\\intermediate\\cik_map_20251008.csv""}"
