parent_ticker,parent_cik10,accession,exhibit_label,exhibit_year,subsidiary_name_raw,jurisdiction_raw,ownership_raw,footnote_marker,source_path,parse_confidence
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,HongKong Walnut Street Limited,Hong Kong,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,"Hangzhou Weimi Network Technology Co., Ltd.",Mainland China,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",Mainland China,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,Radiance Sea Investment Limited,British Virgin Islands,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,Radiance Sea Group Limited,Cayman Islands,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,Radiance Sea Hong Kong Limited,Hong Kong,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,Pinduoduo Investment Limited*,British Virgin Islands,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,Elementary Technology Limited,British Virgin Islands,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,Elementary Innovation Pte. Ltd.,Singapore,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,Whaleco Technology Limited,Ireland,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,Whaleco Inc.,Delaware,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,"Whaleco Services, LLC",Delaware,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
PDD,0001737806,0001104659-24-051610,EX-8.1,2024,"Hangzhou Aimi Network Technology Co., Ltd.",Mainland China,,,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm,
