ticker,cik10,company_name_uscc,mapping_source,resolved_at
BABA,0001577552,Alibaba Group Holding Limited,SEC_official,2025-09-25T13:07:42.892684
PDD,0001737806,Pinduoduo Inc.,SEC_official,2025-09-25T13:07:42.892684
NTES,0001110646,"NetEase, Inc.",SEC_official,2025-09-25T13:07:42.892684
JD,0001549802,"JD.com, Inc.",SEC_official,2025-09-25T13:07:42.892684
TCOM,0001269238,"Trip.com International, Ltd.",SEC_official,2025-09-25T13:07:42.892684
BIDU,0001329099,"Baidu, Inc",SEC_official,2025-09-25T13:07:42.892684
LI,0001791706,Li Auto,SEC_official,2025-09-25T13:07:42.892684
BEKE,0001809587,KE Holdings,SEC_official,2025-09-25T13:07:42.892684
ONC,0001651308,BeiGene,SEC_official,2025-09-25T13:07:42.892684
TME,0001744676,Tencent Music Entertainment Group,SEC_official,2025-09-25T13:07:42.892684
XPEV,0001810997,Xpeng,SEC_official,2025-09-25T13:07:42.892684
YUMC,0001673358,Yum China Holdings Inc.,SEC_official,2025-09-25T13:07:42.892684
ZTO,0001677250,ZTO Express (Cayman) Inc.,SEC_official,2025-09-25T13:07:42.894268
YMM,0001838413,Full Truck Alliance Co. Ltd,SEC_official,2025-09-25T13:07:42.894268
HTHT,0001483994,"H World Group
Limited",SEC_official,2025-09-25T13:07:42.894268
BILI,0001723690,Bilibili Inc.,SEC_official,2025-09-25T13:07:42.894268
NIO,0001736541,NIO Inc. Limited,SEC_official,2025-09-25T13:07:42.894268
TAL,0001499620,TAL Education Group,SEC_official,2025-09-25T13:07:42.894268
EDU,0001372920,"New Oriental Education & Technology Group, Inc.",SEC_official,2025-09-25T13:07:42.894268
ZK,0001954042,"ZEEKR Intelligent
Holding Ltd",SEC_official,2025-09-25T13:07:42.894268
BZ,0001842827,Kanzhun Limited,SEC_official,2025-09-25T13:07:42.894268
GDS,0001526125,GDS Holdings Limited,SEC_official,2025-09-25T13:07:42.894268
QFIN,0001741530,"Qifu Technology, Inc.",SEC_official,2025-09-25T13:07:42.894268
MNSO,0001815846,Miniso,SEC_official,2025-09-25T13:07:42.894268
PONY,0001969302,Pony AI Inc.,SEC_official,2025-09-25T13:07:42.894268
WRD,0001867729,WeRide Inc.,SEC_official,2025-09-25T13:07:42.894268
KC,0001795589,Kingsoft Cloud,SEC_official,2025-09-25T13:07:42.894268
ATAT,0001853717,"Atour Lifestyle
Holdings",SEC_official,2025-09-25T13:07:42.894268
ZLAB,0001704292,Zai Lab Limited,SEC_official,2025-09-25T13:07:42.894268
ATHM,0001527636,Autohome Inc.,SEC_official,2025-09-25T13:07:42.894268
VNET,0001508475,VNET Group Inc,SEC_official,2025-09-25T13:07:42.894268
HCM,0001648257,"HUTCHMED (China)
Limited",SEC_official,2025-09-25T13:07:42.894268
TUYA,0001829118,Tuya Inc.,SEC_official,2025-09-25T13:07:42.894268
